# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       7.847769457842e-03       1.856002484230e-01      -4.620611457195e+02      -4.623285714279e+02       1.890533614711e-01      -1.812179936122e+02      -4.609345393562e+02       3.897490946555e-01       3.897490890277e-01 
       7.974588025348e-03       1.849459004205e-01      -4.754022777504e+02      -4.756836217840e+02       1.883866005093e-01      -1.840412661708e+02      -4.742374502457e+02       3.883449065242e-01       3.883449011455e-01 
       8.101479747930e-03       1.842928338793e-01      -4.888880245780e+02      -4.891838163650e+02       1.877211536366e-01      -1.868664935338e+02      -4.876847501747e+02       3.869445182689e-01       3.869445131115e-01 
       8.228441953207e-03       1.836410715347e-01      -5.025161741966e+02      -5.028269527068e+02       1.870570434767e-01      -1.896958643424e+02      -5.012742554588e+02       3.855479096365e-01       3.855479046763e-01 
       8.355472139485e-03       1.829907620282e-01      -5.162848310323e+02      -5.166111454418e+02       1.863944205840e-01      -1.925307769760e+02      -5.150040943403e+02       3.841552846107e-01       3.841552798270e-01 
       8.482567964073e-03       1.823419417878e-01      -5.301918493833e+02      -5.305342636162e+02       1.857333213597e-01      -1.953715370149e+02      -5.288721449812e+02       3.827666313405e-01       3.827666267154e-01 
       8.609727232581e-03       1.816946910175e-01      -5.442351846509e+02      -5.445942717476e+02       1.850738265003e-01      -1.982174210887e+02      -5.428763767807e+02       3.813819925806e-01       3.813819880985e-01 
       8.736947889087e-03       1.810490364870e-01      -5.584126669304e+02      -5.587890294800e+02       1.844159624249e-01      -2.010665637938e+02      -5.570146464279e+02       3.800013186562e-01       3.800013143037e-01 
       8.864228007095e-03       1.804050484957e-01      -5.727222558472e+02      -5.731165177218e+02       1.837597997439e-01      -2.039160283837e+02      -5.712849277365e+02       3.786246327302e-01       3.786246284956e-01 
       8.991565781234e-03       1.797628152774e-01      -5.871620372518e+02      -5.875748350288e+02       1.831054275210e-01      -2.067618229784e+02      -5.856853081663e+02       3.772520184771e-01       3.772520143502e-01 
       9.118959519597e-03       1.791228398115e-01      -6.017297880609e+02      -6.021617873227e+02       1.824533487461e-01      -2.095987169795e+02      -6.002135757908e+02       3.758833528911e-01       3.758833488633e-01 
       9.246407636696e-03       1.784842472285e-01      -6.164237652744e+02      -6.168756457297e+02       1.818026881010e-01      -2.124208721459e+02      -6.148679812537e+02       3.745187983180e-01       3.745187943814e-01 
       9.373908646961e-03       1.778475587375e-01      -6.312418379423e+02      -6.317143070205e+02       1.811539671069e-01      -2.152212245136e+02      -6.296463949518e+02       3.731582648488e-01       3.731582609968e-01 
       9.501461158736e-03       1.772128038591e-01      -6.461820378599e+02      -6.466758137921e+02       1.805072152973e-01      -2.179920773933e+02      -6.445468321770e+02       3.718017462411e-01       3.718017424679e-01 
       9.629063868741e-03       1.765800059738e-01      -6.612423699080e+02      -6.617581890281e+02       1.798624558801e-01      -2.207251375694e+02      -6.595672848708e+02       3.704492147031e-01       3.704492110038e-01 
       9.756715556949e-03       1.759492421310e-01      -6.764210833329e+02      -6.769596824621e+02       1.792197667805e-01      -2.234117896326e+02      -6.747059719263e+02       3.691007606163e-01       3.691007569866e-01 
       9.884415081846e-03       1.753202613781e-01      -6.917159488957e+02      -6.922780929136e+02       1.785788952107e-01      -2.260430686931e+02      -6.899606575944e+02       3.677562141376e-01       3.677562105739e-01 
       1.001216137605e-02       1.746934704050e-01      -7.071250785637e+02      -7.077115342574e+02       1.779402487101e-01      -2.286102497665e+02      -7.053294248322e+02       3.664155796133e-01       3.664155761125e-01 
       1.013995344226e-02       1.740687492293e-01      -7.226467281556e+02      -7.232582598902e+02       1.773037075992e-01      -2.311048925249e+02      -7.208104974211e+02       3.650789242015e-01       3.650789207609e-01 
       1.026779034945e-02       1.734460218945e-01      -7.382787816223e+02      -7.389161729831e+02       1.766691948300e-01      -2.335191264394e+02      -7.364017497933e+02       3.637461279404e-01       3.637461245578e-01 
       1.039567122945e-02       1.728253515590e-01      -7.540197115939e+02      -7.546837319226e+02       1.760367749209e-01      -2.358461799567e+02      -7.521016191380e+02       3.624173459164e-01       3.624173425901e-01 
       1.052359527365e-02       1.722069644846e-01      -7.698672370841e+02      -7.705586873228e+02       1.754066729968e-01      -2.380799898792e+02      -7.679078343114e+02       3.610923776748e-01       3.610923744031e-01 
       1.065156173003e-02       1.715901405069e-01      -7.858196475035e+02      -7.865393343719e+02       1.747781679911e-01      -2.402163896396e+02      -7.838186787631e+02       3.597712888748e-01       3.597712856565e-01 
       1.077956990033e-02       1.709753168643e-01      -8.018751569234e+02      -8.026238934929e+02       1.741516981798e-01      -2.422525906585e+02      -7.998323676764e+02       3.584541013016e-01       3.584540981357e-01 
       1.090761913753e-02       1.703618764925e-01      -8.180318646601e+02      -8.188104913952e+02       1.735266450669e-01      -2.441875384348e+02      -8.159470275541e+02       3.571407888464e-01       3.571407857318e-01 
       1.103570884337e-02       1.697518127008e-01      -8.342874886938e+02      -8.350968528131e+02       1.729050043368e-01      -2.460208234104e+02      -8.321603909243e+02       3.558311524153e-01       3.558311493512e-01 
       1.116383846614e-02       1.691412096075e-01      -8.506412193336e+02      -8.514821953410e+02       1.722828558415e-01      -2.477585635141e+02      -8.484717025255e+02       3.545256361864e-01       3.545256331724e-01 
       1.129200749860e-02       1.685333325092e-01      -8.670903695400e+02      -8.679638422976e+02       1.716634683632e-01      -2.494027510639e+02      -8.648783056692e+02       3.532238613960e-01       3.532238584311e-01 
       1.142021547607e-02       1.679270196686e-01      -8.836332281185e+02      -8.845401169941e+02       1.710456782697e-01      -2.509603435578e+02      -8.813785576953e+02       3.519258811259e-01       3.519258782096e-01 
       1.154846197458e-02       1.673219582716e-01      -9.002681649515e+02      -9.012094025839e+02       1.704291726738e-01      -2.524397067410e+02      -8.979708851633e+02       3.506317646465e-01       3.506317617782e-01 
       1.167674660921e-02       1.667180846368e-01      -9.169935352288e+02      -9.179700713254e+02       1.698138881916e-01      -2.538498227787e+02      -9.146537059910e+02       3.493415657639e-01       3.493415629430e-01 
       1.180506903257e-02       1.661149933155e-01      -9.338074701554e+02      -9.348202749844e+02       1.691994182851e-01      -2.552016950420e+02      -9.314252272468e+02       3.480552487416e-01       3.480552459673e-01 
       1.193342893331e-02       1.655149103533e-01      -9.507075882150e+02      -9.517576427554e+02       1.685879915929e-01      -2.565055558784e+02      -9.482831339181e+02       3.467725839330e-01       3.467725812047e-01 
       1.206182603478e-02       1.649150867477e-01      -9.676931995247e+02      -9.687814935913e+02       1.679768567505e-01      -2.577735849701e+02      -9.652268019131e+02       3.454939604991e-01       3.454939578157e-01 
