# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.626567252976e+07       8.156198455170e-14       4.814649122636e-03       1.999450523241e+10       1.417042453068e+04       1.472012194077e-04       1.364125461649e+12       2.779734119510e-03       2.363006340243e+20       2.197609743447e+15       1.198064571066e+16       3.404911261107e-08       1.634654272091e+20       3.997802394888e+20       5.795170435940e-06       1.999975174238e+00 
       9.559649700222e+07       8.270784209975e-14       4.848351367400e-03       1.971749658748e+10       1.417042449698e+04       1.482316276549e-04       1.354642957116e+12       2.799192051656e-03       2.297984018008e+20       2.152098573891e+15       1.173253377907e+16       3.404911261107e-08       1.589673852440e+20       3.887796716771e+20       5.876585769230e-06       1.999975000462e+00 
       9.493197314169e+07       8.386979765726e-14       4.882289524176e-03       1.944432570316e+10       1.417042446304e+04       1.492692487559e-04       1.345226368702e+12       2.818786186424e-03       2.234750900589e+20       2.107529913130e+15       1.148956009552e+16       3.404911261107e-08       1.545931149018e+20       3.780818020507e+20       5.959144885049e-06       1.999974825471e+00 
       9.427206861287e+07       8.504807738214e-14       4.916465242786e-03       1.917493940987e+10       1.417042442887e+04       1.503141332004e-04       1.335875238202e+12       2.838517477190e-03       2.173257754836e+20       2.063884242378e+15       1.125161825000e+16       3.404911261107e-08       1.503392103862e+20       3.676783013723e+20       6.042863851942e-06       1.999974649254e+00 
       9.361675130520e+07       8.624291060953e-14       4.950880187607e-03       1.890928527463e+10       1.417042439445e+04       1.513663318319e-04       1.326589110595e+12       2.858386884006e-03       2.113456702333e+20       2.021142447070e+15       1.101860403620e+16       3.404911261107e-08       1.462023596176e+20       3.575610695974e+20       6.127758964194e-06       1.999974471804e+00 
       9.296598933135e+07       8.745452989642e-14       4.985536033928e-03       1.864731159090e+10       1.417042435980e+04       1.524258958495e-04       1.317367534024e+12       2.878395373642e-03       2.055301182128e+20       1.979285808493e+15       1.079041540583e+16       3.404911261107e-08       1.421793416540e+20       3.477222295679e+20       6.213846744998e-06       1.999974293112e+00 
       9.231975102564e+07       8.868317106694e-14       5.020434466132e-03       1.838896736848e+10       1.417042432490e+04       1.534928768110e-04       1.308210059773e+12       2.898543919634e-03       1.998745914472e+20       1.938295995586e+15       1.056695242400e+16       3.404911261107e-08       1.382670241833e+20       3.381541208790e+20       6.301143949668e-06       1.999974113169e+00 
       9.167800494251e+07       8.992907325824e-14       5.055577181338e-03       1.813420232363e+10       1.417042428975e+04       1.545673266349e-04       1.299116242244e+12       2.918833502336e-03       1.943746865574e+20       1.898155056915e+15       1.034811722537e+16       3.404911261107e-08       1.344623610848e+20       3.288492939144e+20       6.389667568908e-06       1.999973931966e+00 
       9.104071985499e+07       9.119247896704e-14       5.090965893032e-03       1.788296686925e+10       1.417042425437e+04       1.556492976032e-04       1.290085638939e+12       2.939265108958e-03       1.890261213305e+20       1.858845412806e+15       1.013381397135e+16       3.404911261107e-08       1.307623900569e+20       3.198005040468e+20       6.479434832112e-06       1.999973749496e+00 
       9.040786475319e+07       9.247363409682e-14       5.126602320161e-03       1.763521210524e+10       1.417042421873e+04       1.567388423637e-04       1.281117810433e+12       2.959839733626e-03       1.838247313868e+20       1.820349847654e+15       9.923948808124e+15       3.404911261107e-08       1.271642303112e+20       3.110007059967e+20       6.570463210717e-06       1.999973565748e+00 
       8.977940884276e+07       9.377278800568e-14       5.162488196220e-03       1.739088980896e+10       1.417042418284e+04       1.578360139331e-04       1.272212320357e+12       2.980558377420e-03       1.787664669367e+20       1.782651502375e+15       9.718429825506e+15       3.404911261107e-08       1.236650803293e+20       3.024430483474e+20       6.662770421608e-06       1.999973380713e+00 
