# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.143840020866e-02      -6.339853657516e-01      -2.253480018845e+02      -2.261145109138e+02      -5.895018218191e-01      -2.256653575733e+02       4.497924726614e-01       4.497924726614e-01 
       1.156679714741e-02      -6.316827119660e-01      -2.295847279018e+02      -2.303823894793e+02      -5.873607577580e-01      -2.299221606526e+02       4.481593049730e-01       4.481593049730e-01 
       1.169523220388e-02      -6.293866232369e-01      -2.338441041137e+02      -2.346738192161e+02      -5.852258151400e-01      -2.342023411872e+02       4.465306973373e-01       4.465306973373e-01 
       1.182370503324e-02      -6.270971189233e-01      -2.381257015029e+02      -2.389883815143e+02      -5.830970078792e-01      -2.385054795740e+02       4.449066906244e-01       4.449066906244e-01 
       1.195221532664e-02      -6.248139964742e-01      -2.424289874491e+02      -2.433255747137e+02      -5.809741452364e-01      -2.428310701051e+02       4.432871578779e-01       4.432871578779e-01 
       1.208076280985e-02      -6.225373604858e-01      -2.467535758970e+02      -2.476850096620e+02      -5.788573220168e-01      -2.471787246779e+02       4.416721860161e-01       4.416721860161e-01 
       1.220934724206e-02      -6.202670856126e-01      -2.510989681043e+02      -2.520662130790e+02      -5.767464203701e-01      -2.515479667728e+02       4.400616932419e-01       4.400616932419e-01 
       1.233796841467e-02      -6.180032881134e-01      -2.554647840985e+02      -2.564688040384e+02      -5.746415477652e-01      -2.559384161695e+02       4.384557627749e-01       4.384557627749e-01 
       1.246662615021e-02      -6.157457989944e-01      -2.598505139519e+02      -2.608922947204e+02      -5.725425459565e-01      -2.603495823485e+02       4.368542794217e-01       4.368542794217e-01 
       1.259532030139e-02      -6.134946273613e-01      -2.642557379127e+02      -2.653362765749e+02      -5.704494208664e-01      -2.647810556283e+02       4.352572637341e-01       4.352572637341e-01 
       1.272405075012e-02      -6.112498133262e-01      -2.686800642006e+02      -2.698003561410e+02      -5.683622078692e-01      -2.692324433850e+02       4.336647558333e-01       4.336647558333e-01 
       1.285281740668e-02      -6.090113362865e-01      -2.731230533545e+02      -2.742841171388e+02      -5.662808867389e-01      -2.737033263679e+02       4.320767444474e-01       4.320767444474e-01 
       1.298162020888e-02      -6.067790742357e-01      -2.775842305570e+02      -2.787870983853e+02      -5.642053437230e-01      -2.781932419644e+02       4.304931459921e-01       4.304931459921e-01 
       1.311045912139e-02      -6.045530088492e-01      -2.820631676714e+02      -2.833088862602e+02      -5.621355616634e-01      -2.827017749180e+02       4.289139492672e-01       4.289139492672e-01 
       1.323933413499e-02      -6.023333096808e-01      -2.865595422303e+02      -2.878491578990e+02      -5.600716980061e-01      -2.872286028997e+02       4.273392764053e-01       4.273392764053e-01 
       1.336824526596e-02      -6.001197311684e-01      -2.910728095757e+02      -2.924074039074e+02      -5.580135246238e-01      -2.917732118142e+02       4.257689546342e-01       4.257689546342e-01 
       1.349719255553e-02      -5.979124145324e-01      -2.956026407031e+02      -2.969832935936e+02      -5.559611733576e-01      -2.963352717156e+02       4.242030822022e-01       4.242030822022e-01 
       1.362617606930e-02      -5.957112945705e-01      -3.001485958453e+02      -3.015764094756e+02      -5.539145831465e-01      -3.009143622917e+02       4.226416175602e-01       4.226416175602e-01 
       1.375519589679e-02      -5.935164017486e-01      -3.047102948958e+02      -3.061863823975e+02      -5.518737821631e-01      -3.055101132364e+02       4.210845857210e-01       4.210845857210e-01 
       1.388425215096e-02      -5.913273999240e-01      -3.092871792239e+02      -3.108126812442e+02      -5.498384529541e-01      -3.101219899625e+02       4.195317822479e-01       4.195317822479e-01 
       1.401334496781e-02      -5.891446762884e-01      -3.138789661229e+02      -3.154550284850e+02      -5.478089742883e-01      -3.147497145473e+02       4.179833532517e-01       4.179833532517e-01 
