# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       4.469294400732e-03      -2.171264544765e+00      -4.296238661406e+01      -4.299200846531e+01      -2.139765967381e+00      -1.645073677616e+01      -4.283063063225e+01       5.444441742617e-01       5.444337201778e-01 
       4.591866105418e-03      -2.185004836033e+00      -4.513965863979e+01      -4.517191926110e+01      -2.153275820354e+00      -1.689527755344e+01      -4.500031833990e+01       5.426248171592e-01       5.426141425364e-01 
       4.714748722622e-03      -2.209806025770e+00      -4.736963680660e+01      -4.740476078333e+01      -2.173241492934e+00      -1.733550910084e+01      -4.722260400444e+01       5.408015965003e-01       5.407905812123e-01 
       4.837921063216e-03      -2.236325152500e+00      -4.965177355811e+01      -4.968996241534e+01      -2.190984025328e+00      -1.777131894591e+01      -4.949691504701e+01       5.389758520358e-01       5.389645830042e-01 
       4.961363779812e-03      -2.255116725971e+00      -5.198542197814e+01      -5.202690209038e+01      -2.198754808949e+00      -1.820250253850e+01      -5.182261980286e+01       5.371480455351e-01       5.371367646165e-01 
       5.085059183374e-03      -2.259484988934e+00      -5.436992497340e+01      -5.441494232025e+01      -2.192124992853e+00      -1.862880482701e+01      -5.419907423966e+01       5.353185959581e-01       5.353076114604e-01 
       5.208991079894e-03      -2.247463573092e+00      -5.680471790532e+01      -5.685350562502e+01      -2.171292200575e+00      -1.904997760858e+01      -5.662570316386e+01       5.334884693220e-01       5.334780592906e-01 
       5.333144624820e-03      -2.222319210032e+00      -5.928914240381e+01      -5.934194425379e+01      -2.140896312495e+00      -1.946575296824e+01      -5.910186232227e+01       5.316578617236e-01       5.316481967538e-01 
       5.457506193240e-03      -2.191466500473e+00      -6.182251296738e+01      -6.187959743533e+01      -2.108463564515e+00      -1.987589312143e+01      -6.162689607094e+01       5.298268908378e-01       5.298179956189e-01 
       5.582063263989e-03      -2.164108885496e+00      -6.440432415523e+01      -6.446595277540e+01      -2.081964140490e+00      -2.028025886377e+01      -6.420030323742e+01       5.279970368670e-01       5.279887974499e-01 
       5.706804316112e-03      -2.148330077500e+00      -6.703374150338e+01      -6.710020969681e+01      -2.067270723273e+00      -2.067866116492e+01      -6.682128851812e+01       5.261670515363e-01       5.261592615933e-01 
       5.831718736247e-03      -2.148589501524e+00      -6.971048851210e+01      -6.978204826119e+01      -2.066363109290e+00      -2.107112446938e+01      -6.948954441453e+01       5.243398590865e-01       5.243322878854e-01 
       5.956796735702e-03      -2.164284650280e+00      -7.243366089661e+01      -7.251060776278e+01      -2.076758316229e+00      -2.145753198757e+01      -7.220420710611e+01       5.225135886834e-01       5.225060494452e-01 
       6.082029276119e-03      -2.189943287434e+00      -7.520269166950e+01      -7.528532783239e+01      -2.092432591336e+00      -2.183789724558e+01      -7.496471355520e+01       5.206889408901e-01       5.206813393642e-01 
       6.207408002756e-03      -2.216867106105e+00      -7.801713181032e+01      -7.810574801749e+01      -2.105817198481e+00      -2.221228005489e+01      -7.777060029832e+01       5.188671543901e-01       5.188595056678e-01 
       6.332925184544e-03      -2.235744909048e+00      -8.087633000177e+01      -8.097123041741e+01      -2.110251764571e+00      -2.258069606928e+01      -8.062122281494e+01       5.170480917790e-01       5.170405030396e-01 
       6.458573660149e-03      -2.239439690122e+00      -8.377943036571e+01      -8.388098904747e+01      -2.102098724287e+00      -2.294309522511e+01      -8.351578216474e+01       5.152305194473e-01       5.152231473189e-01 
       6.584346789399e-03      -2.225077712642e+00      -8.672615608894e+01      -8.683469207675e+01      -2.081859511088e+00      -2.329943713393e+01      -8.645395415077e+01       5.134165024508e-01       5.134095077328e-01 
       6.710238409469e-03      -2.194785011299e+00      -8.971579137313e+01      -8.983166868847e+01      -2.053915015147e+00      -2.364928556476e+01      -8.943506450481e+01       5.116055715968e-01       5.115991071969e-01 
       6.836242795317e-03      -2.154907674154e+00      -9.274765351211e+01      -9.287124132789e+01      -2.025072065579e+00      -2.396810436791e+01      -9.245833191925e+01       5.097969546950e-01       5.097915556357e-01 
       6.962354623925e-03      -2.113988210218e+00      -9.582134258254e+01      -9.595305060053e+01      -2.002308096089e+00      -2.424739149815e+01      -9.552336124189e+01       5.079917480132e-01       5.079872900982e-01 
       7.088568941917e-03      -2.080104509259e+00      -9.893621556134e+01      -9.907642126409e+01      -1.990470932073e+00      -2.448838108050e+01      -9.862949854144e+01       5.061895908308e-01       5.061858590986e-01 
       7.214881136221e-03      -2.058482646592e+00      -1.020914027759e+02      -1.022405747242e+02      -1.990742550446e+00      -2.469155938126e+01      -1.017759621377e+02       5.043896105385e-01       5.043863785740e-01 
       7.341286907449e-03      -2.050106609260e+00      -1.052866015052e+02      -1.054451836662e+02      -2.000342967583e+00      -2.485745603625e+01      -1.049624335705e+02       5.025933294620e-01       5.025904060481e-01 
       7.467782245706e-03      -2.051691567045e+00      -1.085213437903e+02      -1.086897545801e+02      -2.013501586146e+00      -2.498664497061e+01      -1.081884257309e+02       5.008012147225e-01       5.007984735125e-01 
       7.594363408599e-03      -2.057051201544e+00      -1.117947557187e+02      -1.119734823176e+02      -2.023410513798e+00      -2.507976530745e+01      -1.114531247652e+02       4.990121776373e-01       4.990095685129e-01 
       7.721026901212e-03      -2.059363023032e+00      -1.151064687701e+02      -1.152959704525e+02      -2.024488093849e+00      -2.513775266659e+01      -1.147561390684e+02       4.972271349570e-01       4.972246745710e-01 
       7.847769457842e-03      -2.053545275529e+00      -1.184558253133e+02      -1.186566078473e+02      -2.014173555581e+00      -2.516172581449e+01      -1.180968543414e+02       4.954458768187e-01       4.954436222782e-01 
       7.974588025348e-03      -2.038005522512e+00      -1.218424468626e+02      -1.220549722190e+02      -1.993722108769e+00      -2.515313087939e+01      -1.214748626001e+02       4.936691291576e-01       4.936671436604e-01 
       8.101479747930e-03      -2.015147236790e+00      -1.252656101695e+02      -1.254903819065e+02      -1.967703417975e+00      -2.511366155296e+01      -1.248894892957e+02       4.918963848279e-01       4.918947060845e-01 
       8.228441953207e-03      -1.990516644101e+00      -1.287247756512e+02      -1.289623140206e+02      -1.942445387824e+00      -2.504538179736e+01      -1.283402260580e+02       4.901278781042e-01       4.901264986977e-01 
       8.355472139485e-03      -1.970843949746e+00      -1.322193157336e+02      -1.324701673786e+02      -1.923907526195e+00      -2.495068511090e+01      -1.318264876829e+02       4.883634884280e-01       4.883623531656e-01 
       8.482567964073e-03      -1.961664875629e+00      -1.357489397548e+02      -1.360136075374e+02      -1.915728978809e+00      -2.483236612442e+01      -1.353479658985e+02       4.866041163206e-01       4.866031360040e-01 
       8.609727232581e-03      -1.965282514960e+00      -1.393128945956e+02      -1.395919458575e+02      -1.918060237259e+00      -2.469349173918e+01      -1.389039818612e+02       4.848492438410e-01       4.848483199945e-01 
       8.736947889087e-03      -1.979800659693e+00      -1.429108391689e+02      -1.432048138469e+02      -1.927585266770e+00      -2.453751365733e+01      -1.424941874497e+02       4.830995253686e-01       4.830985773829e-01 
       8.864228007095e-03      -1.999520217156e+00      -1.465421375670e+02      -1.468516131887e+02      -1.938670950246e+00      -2.436813582205e+01      -1.461179937709e+02       4.813547277330e-01       4.813537137248e-01 
       8.991565781234e-03      -2.016659680363e+00      -1.502059993407e+02      -1.505316237359e+02      -1.945285790453e+00      -2.418930008699e+01      -1.497746849853e+02       4.796142175692e-01       4.796131425462e-01 
