# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.05328e-05 to 7.02536 h/Mpc,
# number of wavenumbers equal to 695
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       3.340728183486e-03      -2.228177445817e+00      -4.010736172467e+01      -4.011833229224e+01      -2.203611220338e+00      -4.008336028382e+01       5.562639348787e-01       5.562655212840e-01 
       3.460109894698e-03      -2.222138527712e+00      -4.281244668524e+01      -4.282464994474e+01      -2.197080880980e+00      -4.278710564892e+01       5.545983992599e-01       5.545997110022e-01 
       3.580153736781e-03      -2.240432209753e+00      -4.561471128064e+01      -4.562823333488e+01      -2.212043231474e+00      -4.558803836912e+01       5.529192705920e-01       5.529198806159e-01 
       3.700805310288e-03      -2.271776828661e+00      -4.851305454712e+01      -4.852802750593e+01      -2.236936603357e+00      -4.848508728430e+01       5.512257765954e-01       5.512256062322e-01 
       3.822015530103e-03      -2.298904979619e+00      -5.150664517568e+01      -5.152318603156e+01      -2.255772709172e+00      -5.147739435228e+01       5.495202911486e-01       5.495196005629e-01 
       3.943740069986e-03      -2.306803966504e+00      -5.459450506240e+01      -5.461274537594e+01      -2.255977677695e+00      -5.456398232272e+01       5.478038295679e-01       5.478030611833e-01 
       4.065938862426e-03      -2.289906651157e+00      -5.777569666957e+01      -5.779578430579e+01      -2.234474539288e+00      -5.774392425261e+01       5.460780844677e-01       5.460776460913e-01 
       4.188575650197e-03      -2.254679457308e+00      -6.104908010435e+01      -6.107118038062e+01      -2.198977404844e+00      -6.101610210891e+01       5.443428332788e-01       5.443429241129e-01 
       4.311617585486e-03      -2.216342830964e+00      -6.441383711793e+01      -6.443809907439e+01      -2.163913401582e+00      -6.437969769634e+01       5.426009765394e-01       5.426015287564e-01 
       4.435034872377e-03      -2.191299090633e+00      -6.786865385216e+01      -6.789528941434e+01      -2.143042568778e+00      -6.783346485303e+01       5.408512489312e-01       5.408519966591e-01 
       4.558800448460e-03      -2.189054646972e+00      -7.141279383187e+01      -7.144196565766e+01      -2.142581192481e+00      -7.137663332044e+01       5.390967432640e-01       5.390973725641e-01 
       4.682889701582e-03      -2.207546365013e+00      -7.504508783637e+01      -7.507699160529e+01      -2.158222836250e+00      -7.500806016670e+01       5.373372479836e-01       5.373375492920e-01 
       4.807280217985e-03      -2.234271113953e+00      -7.876458107031e+01      -7.879941226364e+01      -2.177594543984e+00      -7.872678033748e+01       5.355739810830e-01       5.355739334254e-01 
       4.931951558391e-03      -2.252554113703e+00      -8.257012827238e+01      -8.260809298615e+01      -2.186754722684e+00      -8.253164488076e+01       5.338067256949e-01       5.338064814629e-01 
       5.056885058908e-03      -2.249824919788e+00      -8.646069991731e+01      -8.650201859366e+01      -2.177372429628e+00      -8.642162777311e+01       5.320362048694e-01       5.320359940205e-01 
       5.182063653938e-03      -2.223716893108e+00      -9.043545797470e+01      -9.048033662252e+01      -2.150747816076e+00      -9.039587877287e+01       5.302640872223e-01       5.302640869878e-01 
       5.307471718565e-03      -2.182972315000e+00      -9.449323061813e+01      -9.454188300708e+01      -2.116641760205e+00      -9.445324167507e+01       5.284900470993e-01       5.284903175683e-01 
       5.433094928180e-03      -2.142805101342e+00      -9.863289847275e+01      -9.868558950697e+01      -2.088555634161e+00      -9.859265399988e+01       5.267143724830e-01       5.267148278636e-01 
       5.558920133350e-03      -2.117152491886e+00      -1.028535584096e+02      -1.029105197601e+02      -2.076612047980e+00      -1.028131962201e+02       5.249380913741e-01       5.249385563520e-01 
       5.684935248168e-03      -2.111824952681e+00      -1.071542013883e+02      -1.072157018934e+02      -2.082207068600e+00      -1.071138950766e+02       5.231618415396e-01       5.231621465552e-01 
       5.811129150525e-03      -2.122062029835e+00      -1.115336336061e+02      -1.115999594480e+02      -2.097470487834e+00      -1.114935671619e+02       5.213851359650e-01       5.213851998410e-01 
       5.937491592941e-03      -2.135613502563e+00      -1.159911161993e+02      -1.160625528825e+02      -2.109673519767e+00      -1.159514627626e+02       5.196095409416e-01       5.196094017632e-01 
       6.064013122735e-03      -2.139594750354e+00      -1.205251990591e+02      -1.206020605978e+02      -2.108103489863e+00      -1.204861465807e+02       5.178334014761e-01       5.178331855754e-01 
       6.190685010472e-03      -2.127492687597e+00      -1.251355037423e+02      -1.252181134535e+02      -2.089750572516e+00      -1.250972438990e+02       5.160597889896e-01       5.160596395066e-01 
       6.317499185762e-03      -2.102498276769e+00      -1.298205273254e+02      -1.299092049769e+02      -2.060696634940e+00      -1.297832539558e+02       5.142867623846e-01       5.142867667350e-01 
       6.444448179561e-03      -2.075525872340e+00      -1.345794159419e+02      -1.346745004956e+02      -2.032668819761e+00      -1.345433497124e+02       5.125152194221e-01       5.125153719786e-01 
       6.571525072279e-03      -2.058972945863e+00      -1.394112373078e+02      -1.395131142937e+02      -2.016615553223e+00      -1.393766493825e+02       5.107458092864e-01       5.107460245838e-01 
       6.698723447031e-03      -2.059631459153e+00      -1.443151660074e+02      -1.444241758409e+02      -2.016856435381e+00      -1.442822952618e+02       5.089791259361e-01       5.089792910891e-01 
       6.826037347469e-03      -2.074590518776e+00      -1.492898188018e+02      -1.494063264735e+02      -2.028888281550e+00      -1.492589229468e+02       5.072139189114e-01       5.072139553599e-01 
       6.953461239715e-03      -2.092459650971e+00      -1.543347746417e+02      -1.544591694667e+02      -2.042018712671e+00      -1.543061225446e+02       5.054523135449e-01       5.054522158606e-01 
       7.080989977936e-03      -2.099214226249e+00      -1.594485639676e+02      -1.595812475886e+02      -2.045190075019e+00      -1.594224249491e+02       5.036927037200e-01       5.036925378193e-01 
       7.208618773181e-03      -2.085902734186e+00      -1.646302476916e+02      -1.647715826038e+02      -2.033062388831e+00      -1.646068522746e+02       5.019351746039e-01       5.019350385913e-01 
       7.336343165138e-03      -2.053202788224e+00      -1.698793112220e+02      -1.700297633643e+02      -2.008378416470e+00      -1.698589790796e+02       5.001816393548e-01       5.001816129520e-01 
       7.464158996502e-03      -2.010654437434e+00      -1.751947692743e+02      -1.753547515448e+02      -1.979467223907e+00      -1.751777841078e+02       4.984315480535e-01       4.984316614280e-01 
       7.592062389690e-03      -2.008685166241e+00      -1.805757062226e+02      -1.807456464279e+02      -1.984038888232e+00      -1.805624046470e+02       4.966837896123e-01       4.966838097152e-01 
       7.720049725661e-03      -2.004865144877e+00      -1.860230329142e+02      -1.862034264012e+02      -1.980569993319e+00      -1.860137712161e+02       4.949379219674e-01       4.949379159650e-01 
       7.848117624623e-03      -1.996801597329e+00      -1.915321046932e+02      -1.917233969590e+02      -1.972534245992e+00      -1.915272007780e+02       4.931977694333e-01       4.931977712990e-01 
       7.976262928453e-03      -1.990100352029e+00      -1.971027584224e+02      -1.973054620870e+02      -1.965925014741e+00      -1.971025923184e+02       4.914612949695e-01       4.914612943893e-01 
       8.104482684648e-03      -1.982970190492e+00      -2.027345254583e+02      -2.029491547521e+02      -1.958883610568e+00      -2.027394772397e+02       4.897269794255e-01       4.897269796042e-01 
       8.232774131655e-03      -1.975991678463e+00      -2.084272873310e+02      -2.086543506413e+02      -1.951987818533e+00      -2.084377328069e+02       4.879973956744e-01       4.879973956868e-01 
       8.361134685466e-03      -1.969003274931e+00      -2.141796409088e+02      -2.144196899046e+02      -1.945084774674e+00      -2.141959935028e+02       4.862710538529e-01       4.862710538488e-01 
       8.489561927338e-03      -1.962028581654e+00      -2.199907901717e+02      -2.202443851412e+02      -1.938194826479e+00      -2.200134713078e+02       4.845486966052e-01       4.845486966049e-01 
       8.618053592532e-03      -1.955068470592e+00      -2.258597146573e+02      -2.261273986554e+02      -1.931319293420e+00      -2.258891321046e+02       4.828298265483e-01       4.828298265484e-01 
