# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE               BB               phiphi           Tphi             Ephi             
 160 6.4177126267e-10 1.4063979178e-13 -6.2086953305e-12 1.1812297361e-15 2.9736958592e-12 5.5159689124e-13 -3.0747798621e-15
 161 6.4600092541e-10 1.3949914871e-13 -6.1813482860e-12 1.1974894741e-15 2.9206252349e-12 5.4387788507e-13 -3.0124686185e-15
 162 6.5019036652e-10 1.3831605324e-13 -6.1504100644e-12 1.2138903967e-15 2.8687622432e-12 5.3631377071e-13 -2.9506180288e-15
 163 6.5433846805e-10 1.3709273063e-13 -6.1158575843e-12 1.2304326513e-15 2.8180770901e-12 5.2890287672e-13 -2.8892494734e-15
 164 6.5844409426e-10 1.3583152266e-13 -6.0776698141e-12 1.2471163590e-15 2.7685351504e-12 5.2164296682e-13 -2.8283828046e-15
 165 6.6250605160e-10 1.3453488044e-13 -6.0358273983e-12 1.2639416048e-15 2.7201005234e-12 5.1453143198e-13 -2.7680054339e-15
 166 6.6652296516e-10 1.3320533865e-13 -5.9903114093e-12 1.2809084100e-15 2.6727472493e-12 5.0756591022e-13 -2.7079766847e-15
 167 6.7049339089e-10 1.3184554219e-13 -5.9411045660e-12 1.2980167568e-15 2.6264488828e-12 5.0074369777e-13 -2.6481150627e-15
 168 6.7441585396e-10 1.3045825645e-13 -5.8881916797e-12 1.3152665960e-15 2.5811748477e-12 4.9406153902e-13 -2.5882282067e-15
 169 6.7828892223e-10 1.2904634500e-13 -5.8315589989e-12 1.3326578392e-15 2.5368935283e-12 4.8751402527e-13 -2.5281678676e-15
 170 6.8211143437e-10 1.2761269711e-13 -5.7711920986e-12 1.3501903334e-15 2.4935820021e-12 4.8108866224e-13 -2.4680004226e-15
 171 6.8588229010e-10 1.2616029720e-13 -5.7070778879e-12 1.3678638829e-15 2.4512169785e-12 4.7477036349e-13 -2.4078504700e-15
 172 6.8960037795e-10 1.2469224962e-13 -5.6392053252e-12 1.3856782566e-15 2.4097716356e-12 4.6854298576e-13 -2.3478470200e-15
 173 6.9326455429e-10 1.2321177442e-13 -5.5675703682e-12 1.4036331806e-15 2.3692182620e-12 4.6239220372e-13 -2.2881020419e-15
 174 6.9687357918e-10 1.2172219075e-13 -5.4921912052e-12 1.4217283176e-15 2.3295365650e-12 4.5631443723e-13 -2.2286440108e-15
 175 7.0042617491e-10 1.2022693495e-13 -5.4130943556e-12 1.4399632844e-15 2.2907059225e-12 4.5030862966e-13 -2.1694789582e-15
 176 7.0392104602e-10 1.1872956774e-13 -5.3303099255e-12 1.4583376586e-15 2.2527026809e-12 4.4437341559e-13 -2.1106114528e-15
 177 7.0735692904e-10 1.1723370999e-13 -5.2438591494e-12 1.4768509722e-15 2.2155024316e-12 4.3850948892e-13 -2.0520423887e-15
 178 7.1073274676e-10 1.1574284133e-13 -5.1537157720e-12 1.4955026952e-15 2.1790871629e-12 4.3272693385e-13 -1.9937622221e-15
 179 7.1404746596e-10 1.1426048808e-13 -5.0598416468e-12 1.5142922497e-15 2.1434385802e-12 4.2703847594e-13 -1.9357571242e-15
