# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4000,
# i.e. number of multipoles equal to 3999
#  l TT               EE               TE               BB               phiphi           Tphi             
  89 3.1818871498e-10 8.0445033401e-14 -2.1582353054e-12 0.0000000000e+00 1.4564342471e-11 -1.9422664626e-12
  90 3.2218106726e-10 8.2539560175e-14 -2.2426321054e-12 0.0000000000e+00 1.4160118171e-11 -1.8970532808e-12
  91 3.2620551799e-10 8.4635497347e-14 -2.3278304699e-12 0.0000000000e+00 1.3770267204e-11 -1.8532888297e-12
  92 3.3026180714e-10 8.6730949803e-14 -2.4137514850e-12 0.0000000000e+00 1.3394127255e-11 -1.8111759729e-12
  93 3.3434967218e-10 8.8824075444e-14 -2.5003536886e-12 0.0000000000e+00 1.3031139990e-11 -1.7705203833e-12
  94 3.3846874573e-10 9.0913006009e-14 -2.5875951001e-12 0.0000000000e+00 1.2680710516e-11 -1.7310612659e-12
  95 3.4261865820e-10 9.2995783694e-14 -2.6753888112e-12 0.0000000000e+00 1.2342335682e-11 -1.6927786617e-12
  96 3.4679897406e-10 9.5070432474e-14 -2.7636476346e-12 0.0000000000e+00 1.2015480475e-11 -1.6557096061e-12
  97 3.5100939932e-10 9.7135087834e-14 -2.8523417066e-12 0.0000000000e+00 1.1699690531e-11 -1.6198837589e-12
  98 3.5524955757e-10 9.9187856205e-14 -2.9414360098e-12 0.0000000000e+00 1.1394483538e-11 -1.5852785150e-12
  99 3.5951893521e-10 1.0122665260e-13 -3.0308060325e-12 0.0000000000e+00 1.1099448365e-11 -1.5516801464e-12
 100 3.6381694219e-10 1.0324943066e-13 -3.1203371830e-12 0.0000000000e+00 1.0814149346e-11 -1.5189021081e-12
 101 3.6814319780e-10 1.0525460233e-13 -3.2100697718e-12 0.0000000000e+00 1.0538213843e-11 -1.4871430827e-12
 102 3.7249725795e-10 1.0724036667e-13 -3.3000081719e-12 0.0000000000e+00 1.0271247667e-11 -1.4565908428e-12
