#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
90	-0.90	4.0811e+01	4.2848e+01	1.5555e+02	1.2589e-01	5.1378e+00	5.3942e+00	1.9583e+01	3.0115e+01
90	-0.85	3.8444e+01	4.1225e+01	1.4425e+02	1.4125e-01	5.4303e+00	5.8231e+00	2.0376e+01	3.1629e+01
90	-0.80	3.5854e+01	3.9483e+01	1.3292e+02	1.5849e-01	5.6824e+00	6.2576e+00	2.1067e+01	3.3007e+01
90	-0.75	3.3395e+01	3.7660e+01	1.2183e+02	1.7783e-01	5.9386e+00	6.6970e+00	2.1665e+01	3.4300e+01
90	-0.70	3.0874e+01	3.5681e+01	1.1128e+02	1.9953e-01	6.1601e+00	7.1193e+00	2.2203e+01	3.5483e+01
90	-0.65	2.8429e+01	3.3621e+01	1.0106e+02	2.2387e-01	6.3646e+00	7.5269e+00	2.2624e+01	3.6515e+01
90	-0.60	2.6029e+01	3.1485e+01	9.1137e+01	2.5119e-01	6.5381e+00	7.9086e+00	2.2893e+01	3.7339e+01
90	-0.55	2.3661e+01	2.9277e+01	8.2011e+01	2.8184e-01	6.6687e+00	8.2515e+00	2.3114e+01	3.8034e+01
90	-0.50	2.1475e+01	2.7195e+01	7.3196e+01	3.1623e-01	6.7909e+00	8.5998e+00	2.3147e+01	3.8537e+01
90	-0.45	1.9450e+01	2.5100e+01	6.5208e+01	3.5481e-01	6.9013e+00	8.9057e+00	2.3137e+01	3.8944e+01
90	-0.40	1.7442e+01	2.3025e+01	5.7778e+01	3.9811e-01	6.9439e+00	9.1666e+00	2.3002e+01	3.9112e+01
90	-0.35	1.5511e+01	2.1005e+01	5.0946e+01	4.4668e-01	6.9284e+00	9.3826e+00	2.2757e+01	3.9068e+01
90	-0.30	1.3768e+01	1.9077e+01	4.4733e+01	5.0119e-01	6.9003e+00	9.5612e+00	2.2420e+01	3.8881e+01
90	-0.25	1.2158e+01	1.7184e+01	3.9082e+01	5.6234e-01	6.8369e+00	9.6634e+00	2.1977e+01	3.8478e+01
90	-0.20	1.0707e+01	1.5476e+01	3.4012e+01	6.3096e-01	6.7556e+00	9.7644e+00	2.1460e+01	3.7980e+01
90	-0.15	9.3918e+00	1.3905e+01	2.9448e+01	7.0795e-01	6.6489e+00	9.8443e+00	2.0848e+01	3.7341e+01
90	-0.10	8.1526e+00	1.2370e+01	2.5407e+01	7.9433e-01	6.4759e+00	9.8261e+00	2.0182e+01	3.6484e+01
90	-0.05	7.0585e+00	1.0927e+01	2.1745e+01	8.9125e-01	6.2909e+00	9.7387e+00	1.9380e+01	3.5410e+01
90	0.00	6.0621e+00	9.5905e+00	1.8505e+01	1.0000e+00	6.0621e+00	9.5905e+00	1.8505e+01	3.4157e+01
