#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
50	-1.95	8.1530e-02	4.2027e+00	1.5935e-01	1.1220e-02	9.1479e-04	4.7155e-02	1.7879e-03	4.9858e-02
50	-1.90	7.7214e-02	5.0590e+00	1.5470e-01	1.2589e-02	9.7207e-04	6.3689e-02	1.9476e-03	6.6609e-02
50	-1.85	8.0982e-02	4.6160e+00	1.6958e-01	1.4125e-02	1.1439e-03	6.5203e-02	2.3954e-03	6.8742e-02
50	-1.80	7.8089e-02	3.7452e+00	1.7151e-01	1.5849e-02	1.2376e-03	5.9357e-02	2.7183e-03	6.3313e-02
50	-1.75	8.0725e-02	3.1985e+00	1.6662e-01	1.7783e-02	1.4355e-03	5.6878e-02	2.9630e-03	6.1277e-02
50	-1.70	7.9864e-02	2.6381e+00	1.7025e-01	1.9953e-02	1.5935e-03	5.2636e-02	3.3970e-03	5.7627e-02
50	-1.65	8.6220e-02	2.2200e+00	1.6430e-01	2.2387e-02	1.9302e-03	4.9699e-02	3.6782e-03	5.5308e-02
50	-1.60	8.4653e-02	2.4233e+00	1.6924e-01	2.5119e-02	2.1264e-03	6.0872e-02	4.2510e-03	6.7249e-02
50	-1.55	8.6347e-02	2.1765e+00	1.7257e-01	2.8184e-02	2.4336e-03	6.1343e-02	4.8638e-03	6.8640e-02
50	-1.50	8.2557e-02	2.0503e+00	1.6929e-01	3.1623e-02	2.6107e-03	6.4837e-02	5.3533e-03	7.2801e-02
50	-1.45	9.0456e-02	1.4923e+00	1.7808e-01	3.5481e-02	3.2095e-03	5.2950e-02	6.3184e-03	6.2478e-02
50	-1.40	7.8221e-02	1.3303e+00	1.7484e-01	3.9811e-02	3.1140e-03	5.2962e-02	6.9606e-03	6.3036e-02
50	-1.35	7.7954e-02	1.3126e+00	1.6916e-01	4.4668e-02	3.4821e-03	5.8632e-02	7.5560e-03	6.9670e-02
50	-1.30	7.9624e-02	1.0493e+00	1.6638e-01	5.0119e-02	3.9907e-03	5.2589e-02	8.3389e-03	6.4918e-02
50	-1.25	7.6213e-02	1.0208e+00	1.6610e-01	5.6234e-02	4.2858e-03	5.7403e-02	9.3404e-03	7.1030e-02
50	-1.20	7.6700e-02	9.8180e-01	1.6881e-01	6.3096e-02	4.8394e-03	6.1947e-02	1.0651e-02	7.7438e-02
50	-1.15	7.9098e-02	7.5661e-01	1.6477e-01	7.0795e-02	5.5997e-03	5.3564e-02	1.1665e-02	7.0828e-02
50	-1.10	7.6965e-02	6.7407e-01	1.6501e-01	7.9433e-02	6.1135e-03	5.3543e-02	1.3107e-02	7.2764e-02
50	-1.05	7.7262e-02	6.4189e-01	1.6167e-01	8.9125e-02	6.8860e-03	5.7209e-02	1.4409e-02	7.8504e-02
50	-1.00	7.5525e-02	5.9285e-01	1.6383e-01	1.0000e-01	7.5525e-03	5.9285e-02	1.6383e-02	8.3220e-02
50	-0.95	7.5264e-02	4.3644e-01	1.6052e-01	1.1220e-01	8.4448e-03	4.8969e-02	1.8011e-02	7.5425e-02
50	-0.90	7.5422e-02	3.8092e-01	1.6167e-01	1.2589e-01	9.4950e-03	4.7955e-02	2.0352e-02	7.7802e-02
50	-0.85	7.5870e-02	3.1650e-01	1.6196e-01	1.4125e-01	1.0717e-02	4.4707e-02	2.2878e-02	7.8302e-02
50	-0.80	7.4004e-02	3.4090e-01	1.5837e-01	1.5849e-01	1.1729e-02	5.4029e-02	2.5100e-02	9.0858e-02
50	-0.75	7.2632e-02	2.6925e-01	1.5926e-01	1.7783e-01	1.2916e-02	4.7880e-02	2.8322e-02	8.9118e-02
50	-0.70	7.3556e-02	3.4776e-01	1.5851e-01	1.9953e-01	1.4676e-02	6.9387e-02	3.1627e-02	1.1569e-01
50	-0.65	7.2457e-02	2.6111e-01	1.6065e-01	2.2387e-01	1.6221e-02	5.8456e-02	3.5964e-02	1.1064e-01
50	-0.60	7.4170e-02	2.5172e-01	1.5939e-01	2.5119e-01	1.8631e-02	6.3230e-02	4.0037e-02	1.2190e-01
50	-0.55	7.1813e-02	2.1147e-01	1.5898e-01	2.8184e-01	2.0240e-02	5.9601e-02	4.4807e-02	1.2465e-01
50	-0.50	7.3099e-02	1.9384e-01	1.5610e-01	3.1623e-01	2.3116e-02	6.1297e-02	4.9363e-02	1.3378e-01
50	-0.45	7.1510e-02	1.5958e-01	1.5701e-01	3.5481e-01	2.5373e-02	5.6620e-02	5.5709e-02	1.3770e-01
50	-0.40	7.1372e-02	1.3701e-01	1.5719e-01	3.9811e-01	2.8414e-02	5.4543e-02	6.2578e-02	1.4553e-01
50	-0.35	7.1845e-02	1.1985e-01	1.5549e-01	4.4668e-01	3.2092e-02	5.3536e-02	6.9455e-02	1.5508e-01
50	-0.30	7.1845e-02	1.1226e-01	1.5538e-01	5.0119e-01	3.6008e-02	5.6263e-02	7.7876e-02	1.7015e-01
50	-0.25	7.1847e-02	1.0267e-01	1.5479e-01	5.6234e-01	4.0403e-02	5.7736e-02	8.7048e-02	1.8519e-01
50	-0.20	7.1055e-02	1.0354e-01	1.5445e-01	6.3096e-01	4.4833e-02	6.5330e-02	9.7450e-02	2.0761e-01
50	-0.15	6.9594e-02	7.4006e-02	1.5463e-01	7.0795e-01	4.9269e-02	5.2392e-02	1.0947e-01	2.1113e-01
50	-0.10	7.0517e-02	6.8952e-02	1.5428e-01	7.9433e-01	5.6014e-02	5.4771e-02	1.2255e-01	2.3333e-01
50	-0.05	7.1048e-02	6.7662e-02	1.5424e-01	8.9125e-01	6.3321e-02	6.0304e-02	1.3747e-01	2.6109e-01
50	-0.00	6.9664e-02	6.0848e-02	1.5380e-01	1.0000e+00	6.9664e-02	6.0848e-02	1.5380e-01	2.8431e-01
50	0.05	6.9678e-02	5.2089e-02	1.5235e-01	1.1220e+00	7.8180e-02	5.8445e-02	1.7094e-01	3.0756e-01
50	0.10	7.0629e-02	4.2486e-02	1.5304e-01	1.2589e+00	8.8916e-02	5.3486e-02	1.9267e-01	3.3507e-01
50	0.15	6.9692e-02	4.5444e-02	1.5290e-01	1.4125e+00	9.8442e-02	6.4192e-02	2.1598e-01	3.7861e-01
50	0.20	6.9411e-02	3.7880e-02	1.5211e-01	1.5849e+00	1.1001e-01	6.0036e-02	2.4108e-01	4.1112e-01
50	0.25	6.9726e-02	2.8271e-02	1.5283e-01	1.7783e+00	1.2399e-01	5.0273e-02	2.7178e-01	4.4604e-01
50	0.30	7.0041e-02	3.0021e-02	1.5181e-01	1.9953e+00	1.3975e-01	5.9900e-02	3.0291e-01	5.0255e-01
50	0.35	6.9536e-02	2.1741e-02	1.5138e-01	2.2387e+00	1.5567e-01	4.8673e-02	3.3890e-01	5.4324e-01
50	0.40	6.9313e-02	2.5336e-02	1.5090e-01	2.5119e+00	1.7411e-01	6.3641e-02	3.7904e-01	6.1679e-01
50	0.45	6.8683e-02	1.6572e-02	1.5061e-01	2.8184e+00	1.9357e-01	4.6706e-02	4.2449e-01	6.6477e-01
50	0.50	6.8384e-02	1.5176e-02	1.4998e-01	3.1623e+00	2.1625e-01	4.7990e-02	4.7429e-01	7.3853e-01
50	0.55	6.8043e-02	1.7065e-02	1.4928e-01	3.5481e+00	2.4143e-01	6.0551e-02	5.2967e-01	8.3164e-01
50	0.60	6.8304e-02	1.6532e-02	1.4896e-01	3.9811e+00	2.7192e-01	6.5813e-02	5.9303e-01	9.3076e-01
50	0.65	6.7830e-02	1.1071e-02	1.4804e-01	4.4668e+00	3.0298e-01	4.9453e-02	6.6128e-01	1.0137e+00
50	0.70	6.7359e-02	1.2624e-02	1.4674e-01	5.0119e+00	3.3760e-01	6.3268e-02	7.3542e-01	1.1363e+00
50	0.75	6.6940e-02	8.3771e-03	1.4553e-01	5.6234e+00	3.7643e-01	4.7108e-02	8.1840e-01	1.2419e+00
