#m_DM	E	dN/dE (electrons)	dN/dE (photons)	dN/dE (others)
8.00e+01	3.548e-06	0.0000e+00	9.1154e+01	0.0000e+00
8.00e+01	3.981e-06	0.0000e+00	6.7831e+01	0.0000e+00
8.00e+01	4.467e-06	0.0000e+00	7.7504e+01	0.0000e+00
8.00e+01	5.012e-06	1.7209e-02	1.0076e+02	0.0000e+00
8.00e+01	5.623e-06	0.0000e+00	9.5857e+01	0.0000e+00
8.00e+01	6.310e-06	0.0000e+00	7.5181e+01	0.0000e+00
8.00e+01	7.079e-06	0.0000e+00	9.7450e+01	0.0000e+00
8.00e+01	7.943e-06	1.0858e-02	8.4160e+01	0.0000e+00
8.00e+01	8.913e-06	9.6771e-03	5.8063e+01	0.0000e+00
8.00e+01	1.000e-05	0.0000e+00	8.4091e+01	8.6247e-03
8.00e+01	1.122e-05	0.0000e+00	7.4378e+01	0.0000e+00
8.00e+01	1.259e-05	6.8509e-03	5.4814e+01	6.8509e-03
8.00e+01	1.413e-05	6.1058e-03	7.3264e+01	0.0000e+00
8.00e+01	1.585e-05	0.0000e+00	4.6256e+01	0.0000e+00
8.00e+01	1.778e-05	4.8500e-03	4.7288e+01	0.0000e+00
8.00e+01	1.995e-05	0.0000e+00	4.9710e+01	8.6452e-03
8.00e+01	2.239e-05	7.7051e-03	4.5926e+01	0.0000e+00
8.00e+01	2.512e-05	0.0000e+00	4.7188e+01	3.4336e-03
8.00e+01	2.818e-05	3.0602e-03	3.2701e+01	6.1203e-03
8.00e+01	3.162e-05	0.0000e+00	4.1991e+01	0.0000e+00
8.00e+01	3.548e-05	0.0000e+00	3.6612e+01	7.2923e-03
8.00e+01	3.981e-05	4.3329e-03	3.4754e+01	2.1664e-03
8.00e+01	4.467e-05	1.9308e-03	2.9928e+01	3.8617e-03
8.00e+01	5.012e-05	1.7209e-03	3.0630e+01	6.8834e-03
8.00e+01	5.623e-05	4.6012e-03	2.1297e+01	4.6012e-03
8.00e+01	6.310e-05	1.3669e-03	2.5016e+01	4.1008e-03
8.00e+01	7.079e-05	1.2183e-03	2.0354e+01	2.4366e-03
8.00e+01	7.943e-05	1.0858e-03	2.0312e+01	5.4290e-03
8.00e+01	8.913e-05	1.9354e-03	1.7260e+01	4.8386e-03
8.00e+01	1.000e-04	3.4499e-03	1.1859e+01	2.5874e-03
8.00e+01	1.122e-04	6.1494e-03	1.1280e+01	1.5374e-03
8.00e+01	1.259e-04	3.4254e-03	1.2386e+01	1.3702e-03
8.00e+01	1.413e-04	4.2741e-03	1.0202e+01	7.3270e-03
8.00e+01	1.585e-04	2.1767e-03	1.0810e+01	5.9860e-03
8.00e+01	1.778e-04	3.8800e-03	1.0524e+01	5.8201e-03
8.00e+01	1.995e-04	3.0258e-03	9.5997e+00	4.7549e-03
8.00e+01	2.239e-04	2.6968e-03	9.8501e+00	2.6968e-03
8.00e+01	2.512e-04	4.8070e-03	7.3822e+00	6.5238e-03
8.00e+01	2.818e-04	3.3662e-03	7.2214e+00	5.2023e-03
8.00e+01	3.162e-04	3.5456e-03	5.7763e+00	4.6366e-03
8.00e+01	3.548e-04	4.1323e-03	5.8096e+00	4.6185e-03
8.00e+01	3.981e-04	3.2497e-03	5.5186e+00	5.1994e-03
8.00e+01	4.467e-04	2.1239e-03	5.1241e+00	5.5994e-03
8.00e+01	5.012e-04	2.5813e-03	4.3025e+00	6.3672e-03
8.00e+01	5.623e-04	2.7607e-03	4.1949e+00	3.9877e-03
8.00e+01	6.310e-04	2.8706e-03	3.7741e+00	5.7411e-03
8.00e+01	7.079e-04	3.7767e-03	3.1933e+00	3.5330e-03
8.00e+01	7.943e-04	2.4973e-03	3.3693e+00	5.6461e-03
8.00e+01	8.913e-04	1.6451e-03	2.6894e+00	4.3547e-03
8.00e+01	1.000e-03	3.9674e-03	2.4333e+00	4.9161e-03
8.00e+01	1.122e-03	3.2285e-03	2.6582e+00	5.5345e-03
8.00e+01	1.259e-03	2.7403e-03	2.1722e+00	4.7956e-03
8.00e+01	1.413e-03	2.9308e-03	1.7114e+00	5.7395e-03
8.00e+01	1.585e-03	2.7209e-03	1.8233e+00	5.6051e-03
8.00e+01	1.778e-03	3.2010e-03	1.3944e+00	4.8985e-03
8.00e+01	1.995e-03	2.7665e-03	1.3618e+00	4.2794e-03
8.00e+01	2.239e-03	3.1205e-03	1.3414e+00	4.9312e-03
8.00e+01	2.512e-03	2.6782e-03	1.0415e+00	4.8413e-03
8.00e+01	2.818e-03	3.3968e-03	9.9991e-01	5.3553e-03
8.00e+01	3.162e-03	2.8638e-03	9.7687e-01	5.8639e-03
8.00e+01	3.548e-03	3.0385e-03	7.7231e-01	5.2262e-03
8.00e+01	3.981e-03	2.9897e-03	6.5262e-01	6.0444e-03
8.00e+01	4.467e-03	2.9156e-03	6.2250e-01	5.6187e-03
8.00e+01	5.012e-03	2.7534e-03	5.6431e-01	5.5756e-03
8.00e+01	5.623e-03	3.2208e-03	5.4398e-01	5.4600e-03
8.00e+01	6.310e-03	3.0619e-03	4.8067e-01	5.3447e-03
8.00e+01	7.079e-03	2.8020e-03	4.1728e-01	5.1046e-03
8.00e+01	7.943e-03	2.7688e-03	3.3082e-01	5.6135e-03
8.00e+01	8.913e-03	3.0193e-03	3.1662e-01	6.0192e-03
8.00e+01	1.000e-02	3.1567e-03	2.9554e-01	6.3306e-03
8.00e+01	1.122e-02	2.9825e-03	2.5396e-01	5.8420e-03
8.00e+01	1.259e-02	2.8911e-03	2.4758e-01	6.5768e-03
8.00e+01	1.413e-02	2.7537e-03	2.0012e-01	6.3134e-03
8.00e+01	1.585e-02	2.7645e-03	1.8763e-01	6.4595e-03
8.00e+01	1.778e-02	2.8130e-03	1.5020e-01	6.2420e-03
8.00e+01	1.995e-02	3.1425e-03	1.6104e-01	6.5055e-03
8.00e+01	2.239e-02	3.2669e-03	1.2483e-01	6.7111e-03
8.00e+01	2.512e-02	2.9597e-03	1.2064e-01	6.1942e-03
8.00e+01	2.818e-02	3.1826e-03	9.5468e-02	6.2917e-03
8.00e+01	3.162e-02	2.9238e-03	1.0926e-01	6.0821e-03
8.00e+01	3.548e-02	2.8537e-03	8.5576e-02	6.1863e-03
8.00e+01	3.981e-02	3.0330e-03	6.1128e-02	5.9317e-03
8.00e+01	4.467e-02	2.9735e-03	5.6380e-02	6.1690e-03
8.00e+01	5.012e-02	2.7431e-03	5.2686e-02	6.1865e-03
8.00e+01	5.623e-02	2.8819e-03	5.4330e-02	6.0996e-03
8.00e+01	6.310e-02	2.8924e-03	4.3214e-02	5.9639e-03
8.00e+01	7.079e-02	2.7570e-03	4.5521e-02	6.0731e-03
8.00e+01	7.943e-02	2.8133e-03	3.6731e-02	6.0620e-03
8.00e+01	8.913e-02	2.7260e-03	3.4096e-02	5.8847e-03
8.00e+01	1.000e-01	2.5866e-03	3.1786e-02	5.8493e-03
8.00e+01	1.122e-01	2.5120e-03	2.7164e-02	5.6975e-03
8.00e+01	1.259e-01	2.5067e-03	2.2936e-02	5.6074e-03
8.00e+01	1.413e-01	2.4332e-03	2.1975e-02	5.4959e-03
8.00e+01	1.585e-01	2.4352e-03	1.6256e-02	5.5550e-03
8.00e+01	1.778e-01	2.4493e-03	1.8108e-02	5.5698e-03
8.00e+01	1.995e-01	2.4440e-03	1.4547e-02	5.4625e-03
8.00e+01	2.239e-01	2.4602e-03	1.3599e-02	5.3712e-03
8.00e+01	2.512e-01	2.4344e-03	1.1900e-02	5.3543e-03
8.00e+01	2.818e-01	2.4414e-03	1.0306e-02	5.1824e-03
