# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.189128338383e+04       4.905495394221e-06       3.653488920580e+01       3.458757668341e+02       1.413707135332e+04       1.188760046918e+00       1.681220587511e+08       2.081111472913e+01       5.503513930874e+04       4.122951876671e+03       2.240002449335e+04       3.799181256509e+04       1.266375426682e+04       3.493499587214e-08       8.011783916764e+01       1.196300460831e+05       3.540636345090e-04       3.189656371447e-01 
       1.180858421966e+04       4.971735581025e-06       3.677557095245e+01       3.413467175870e+02       1.413683067157e+04       1.197064215694e+00       1.669500924150e+08       2.094631322273e+01       5.352017225879e+04       4.037535371392e+03       2.193595606189e+04       3.694600550143e+04       1.231515445239e+04       3.493499587214e-08       7.791241390703e+01       1.165175816074e+05       3.548542922613e-04       3.203317114683e-01 
       1.172645997492e+04       5.038854654795e-06       3.701775019508e+01       3.368783852821e+02       1.413658849233e+04       1.205426283489e+00       1.657862757257e+08       2.108232749088e+01       5.204690505780e+04       3.953888292924e+03       2.148150093786e+04       3.592898448808e+04       1.197614995286e+04       3.493499587214e-08       7.576769353125e+01       1.134870464702e+05       3.556501127818e-04       3.217019098852e-01 
       1.164490665334e+04       5.106863991791e-06       3.726143522627e+01       3.324699433098e+02       1.413634480730e+04       1.213846652570e+00       1.646305520452e+08       2.121916171106e+01       5.061418997957e+04       3.871973990041e+03       2.103645999491e+04       3.493995723261e+04       1.164647667124e+04       3.493499587214e-08       7.368200722877e+01       1.105362632044e+05       3.564511331290e-04       3.230762166942e-01 
       1.156392028643e+04       5.175775110544e-06       3.750663437348e+01       3.281205764130e+02       1.413609960815e+04       1.222325727981e+00       1.634828651293e+08       2.135682007370e+01       4.922091088562e+04       3.791756570650e+03       2.060063823106e+04       3.397815324807e+04       1.132587777904e+04       3.493499587214e-08       7.165373017222e+01       1.076631126656e+05       3.572573906242e-04       3.244546158983e-01 
       1.148349693329e+04       5.245599673542e-06       3.775335599908e+01       3.238294805304e+02       1.413585288653e+04       1.230863917561e+00       1.623431591247e+08       2.149530678208e+01       4.786598235598e+04       3.713200886067e+03       2.017384468329e+04       3.304282325294e+04       1.101410351621e+04       3.493499587214e-08       6.968128225285e+01       1.048655324606e+05       3.580689228531e-04       3.258370912050e-01 
       1.140363268040e+04       5.316349488955e-06       3.800160850037e+01       3.195958626415e+02       1.413560463403e+04       1.239461631966e+00       1.612113785665e+08       2.163462605229e+01       4.654834884370e+04       3.636272515623e+03       1.975589234386e+04       3.213323858749e+04       1.071091099666e+04       3.493499587214e-08       6.776312684987e+01       1.021415154176e+05       3.588857676674e-04       3.272236260255e-01 
       1.132432364147e+04       5.388036512367e-06       3.825140030963e+01       3.154189406150e+02       1.413535484222e+04       1.248119284684e+00       1.600874683752e+08       2.177478211318e+01       4.526698385277e+04       3.560937751580e+03       1.934659807844e+04       3.124869064625e+04       1.041606401901e+04       3.493499587214e-08       6.589776963360e+01       9.948910809870e+04       3.597079631873e-04       3.286142034749e-01 
       1.124556595721e+04       5.460672848530e-06       3.850273989417e+01       3.112979430583e+02       1.413510350263e+04       1.256837292060e+00       1.589713738543e+08       2.191577920630e+01       4.402088913860e+04       3.487163584370e+03       1.894578254580e+04       3.038849032613e+04       1.012933288270e+04       3.493499587214e-08       6.408375740156e+01       9.690640935234e+04       3.605355478026e-04       3.300088063719e-01 
       1.116735579514e+04       5.534270753139e-06       3.875563575634e+01       3.072321091694e+02       1.413485060677e+04       1.265616073310e+00       1.578630406875e+08       2.205762158582e+01       4.280909393049e+04       3.414917688136e+03       1.855327011937e+04       2.955196748968e+04       9.850494209025e+03       3.493499587214e-08       6.231967694666e+01       9.439156890465e+04       3.613685601751e-04       3.314074172383e-01 
       1.108968934944e+04       5.608842634627e-06       3.901009643357e+01       3.032206885907e+02       1.413459614609e+04       1.274456050543e+00       1.567624149361e+08       2.220031351851e+01       4.163065417555e+04       3.344168406564e+03       1.816888881017e+04       2.873847044313e+04       9.579330767163e+03       3.493499587214e-08       6.060415395643e+01       9.194278598941e+04       3.622070392405e-04       3.328100182993e-01 
       1.101256284076e+04       5.684401055977e-06       3.926613049842e+01       2.992629412654e+02       1.413434011203e+04       1.283357648782e+00       1.556694430365e+08       2.234385928362e+01       4.048465180340e+04       3.274884739024e+03       1.779247019159e+04       2.794736542880e+04       9.315631304996e+03       3.493499587214e-08       5.893585194264e+01       8.955830801480e+04       3.630510242098e-04       3.342165914834e-01 
       1.093597251599e+04       5.760958736559e-06       3.952374655859e+01       2.953581372949e+02       1.413408249597e+04       1.292321295981e+00       1.545840717971e+08       2.248826317287e+01       3.937019401107e+04       3.207036326986e+03       1.742384932553e+04       2.717803613150e+04       9.059190384556e+03       3.493499587214e-08       5.731347120033e+01       8.723642926633e+04       3.639005545719e-04       3.356271184219e-01 
       1.085991464812e+04       5.838528553983e-06       3.978295325699e+01       2.915055567993e+02       1.413382328927e+04       1.301347423048e+00       1.535062483963e+08       2.263352949035e+01       3.828641256766e+04       3.140593440719e+03       1.706286469018e+04       2.642988319847e+04       8.809808222013e+03       3.493499587214e-08       5.573574779548e+01       8.497548964486e+04       3.647556700951e-04       3.370415804495e-01 
       1.078438553606e+04       5.917123545975e-06       4.004375927170e+01       2.877044897785e+02       1.413356248325e+04       1.310436463861e+00       1.524359203799e+08       2.277966255247e+01       3.723246313803e+04       3.075526966274e+03       1.670935810925e+04       2.570232377256e+04       8.567290532073e+03       3.493499587214e-08       5.420145258057e+01       8.277387343873e+04       3.656164108291e-04       3.384599586040e-01 
       1.070938150443e+04       5.996756912274e-06       4.030617331610e+01       2.839542359769e+02       1.413330006921e+04       1.319588855296e+00       1.513730356578e+08       2.292666668789e+01       3.620752462524e+04       3.011808392723e+03       1.636317468269e+04       2.499479103828e+04       8.331448376647e+03       3.493499587214e-08       5.270939023720e+01       8.063000812920e+04       3.664828171071e-04       3.398822336266e-01 
       1.063489890341e+04       6.077442016549e-06       4.057020413878e+01       2.802541047480e+02       1.413303603839e+04       1.328805037236e+00       1.503175425026e+08       2.307454623744e+01       3.521079853093e+04       2.949409799675e+03       1.602416271882e+04       2.430673378027e+04       8.102098017692e+03       3.493499587214e-08       5.125839834510e+01       7.854236322808e+04       3.673549295478e-04       3.413083859616e-01 
       1.056093410855e+04       6.159192388336e-06       4.083586052370e+01       2.766034149227e+02       1.413277038200e+04       1.338085452602e+00       1.492693895460e+08       2.322330555408e+01       3.424150833344e+04       2.888303845042e+03       1.569217366792e+04       2.363761595400e+04       7.879060774097e+03       3.493499587214e-08       4.984734647669e+01       7.650944914691e+04       3.682327890572e-04       3.427383957571e-01 
       1.048748352060e+04       6.242021725001e-06       4.110315129008e+01       2.730014946784e+02       1.413250309124e+04       1.347430547370e+00       1.482285257772e+08       2.337294900277e+01       3.329889888294e+04       2.828463753061e+03       1.536706205707e+04       2.298691626824e+04       7.662162882515e+03       3.493499587214e-08       4.847513531666e+01       7.452981609666e+04       3.691164368305e-04       3.441722428651e-01 
