z	chi_Mpc	D_M_Mpc	D_A_Mpc	H_1perMpc
1.2300	3925.134196573	3924.555618351	1759.890411817	2.061573536928e-04
1.2400	3946.831344940	3946.243119170	1761.715678201	2.063888594091e-04
1.2500	3968.407523968	3967.809598681	1763.470932747	2.066221442045e-04
1.2600	3989.863678510	3989.256002505	1765.157523232	2.068571656273e-04
1.2700	4011.200746240	4010.583269085	1766.776770522	2.070938830973e-04
1.2800	4032.419657620	4031.792329639	1768.329969140	2.073322566298e-04
1.2900	4053.521335923	4052.884108192	1769.818387857	2.075722464997e-04
1.3000	4074.506697243	4073.859521587	1771.243270255	2.078138148224e-04
1.3100	4095.376650460	4094.719479444	1772.605835257	2.080569241704e-04
1.3200	4116.132097274	4115.464884194	1773.907277670	2.083015374502e-04
1.3300	4136.773932224	4136.096631108	1775.148768716	2.085476191636e-04
1.3400	4157.303042663	4156.615608258	1776.331456521	2.087951343008e-04
1.3500	4177.720308787	4177.022696556	1777.456466619	2.090440482788e-04
1.3600	4198.026603678	4197.318769792	1778.524902454	2.092943277458e-04
1.3700	4218.222793274	4217.504694607	1779.537845826	2.095459399118e-04
1.3800	4238.309736409	4237.581330530	1780.496357366	2.097988526896e-04
1.3900	4258.288284856	4257.549530024	1781.401476997	2.100530345608e-04
1.4000	4278.159283313	4277.410138470	1782.254224362	2.103084549543e-04
1.4100	4297.923569440	4297.163994205	1783.055599255	2.105650838443e-04
1.4200	4317.581973907	4316.811928567	1783.806582052	2.108228916620e-04
1.4300	4337.135320393	4336.354765899	1784.508134115	2.110818498166e-04
1.4400	4356.584425622	4355.793323583	1785.161198190	2.113419302184e-04
1.4500	4375.930099405	4375.128412080	1785.766698808	2.116031051121e-04
1.4600	4395.173144668	4394.360834959	1786.325542666	2.118653477524e-04
1.4700	4414.314357474	4413.491388920	1786.838618996	2.121286318274e-04
1.4800	4433.354527062	4432.520863834	1787.306799933	2.123929313315e-04
1.4900	4452.294435902	4451.450042794	1787.730940881	2.126582211773e-04
1.5000	4471.134859701	4470.279702125	1788.111880850	2.129244766618e-04
1.5100	4489.876567453	4489.010611434	1788.450442802	2.131916736282e-04
1.5200	4508.520321491	4507.643533657	1788.747433991	2.134597883160e-04
1.5300	4527.066877505	4526.179225083	1789.003646278	2.137287976636e-04
1.5400	4545.516984591	4544.618435400	1789.219856457	2.139986790391e-04
1.5500	4563.871385293	4562.961907737	1789.396826564	2.142694101121e-04
1.5600	4582.130815646	4581.210378711	1789.535304184	2.145409692878e-04
1.5700	4600.296005212	4599.364578454	1789.636022745	2.148133352929e-04
1.5800	4618.367677123	4617.425230666	1789.699701809	2.150864873385e-04
1.5900	4636.346548133	4635.393052662	1789.727047360	2.153604050007e-04
1.6000	4654.233328652	4653.268755407	1789.718752079	2.156350683897e-04
1.6100	4672.028722793	4671.053043560	1789.675495617	2.159104579896e-04
1.6200	4689.733428420	4688.746615527	1789.597944858	2.161865546203e-04
1.6300	4707.348137190	4706.350163502	1789.486754183	2.164633396374e-04
1.6400	4724.873534596	4723.864373507	1789.342565723	2.167407947142e-04
1.6500	4742.310300017	4741.289925446	1789.166009602	2.170189018937e-04
1.6600	4759.659106763	4758.627493146	1788.957704190	2.172976436048e-04
1.6700	4776.920622122	4775.877744405	1788.718256332	2.175770026791e-04
1.6800	4794.095507400	4793.041341037	1788.448261581	2.178569622573e-04
1.6900	4811.184417976	4810.118938921	1788.148304432	2.181375058373e-04
1.7000	4828.188003346	4827.111188046	1787.818958535	2.184186172901e-04
1.7100	4845.106907167	4844.018732557	1787.460786921	2.187002807796e-04
1.7200	4861.941767307	4860.842210805	1787.074342208	2.189824808453e-04
1.7300	4878.693215891	4877.582255393	1786.660166811	2.192652022836e-04
1.7400	4895.361879349	4894.239493221	1786.218793146	2.195484302663e-04
1.7500	4911.948378463	4910.814545536	1785.750743831	2.198321502172e-04
1.7600	4928.453328412	4927.308027978	1785.256531876	2.201163479097e-04
1.7700	4944.877338822	4943.720550628	1784.736660877	2.204010093664e-04
